Sentence,Tag
"Under the peace accord , the Free Aceh Movement must decommission all its weapons in exchange for the withdrawal of 32,000 police and troops by the end of the year .","['O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O']"
"In Baghdad , at least three mortar shells exploded near the heavily protected Green Zone , causing no casualties , but scattering journalists who were arriving for a security briefing .","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"But because most of its satellite affiliates in Haiti are off the air , the Creole service also is using a Florida-based AM frequency to reach listeners in the country .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Palestinian President Mahmoud Abbas and Prime Minister Ismail Haniyeh have appealed for an end to the fighting between Hamas militiamen and the president 's Fatah faction .,"['B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O']"
"The Associated Press quoted residents as saying several soldiers and civilians were killed when clashes erupted Sunday in two border villages , Teshiktosh and Karasu .","['B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O']"
"The G-8 consists of the world 's seven leading industrialized nations , plus Russia .","['O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O']"
He served as prime minister from 1999 to 2004 and briefly in 1996 and 1998 .,"['O', 'O', 'O', 'B-per', 'O', 'O', 'B-tim', 'O', 'B-tim', 'O', 'O', 'O', 'B-tim', 'O', 'B-tim', 'O']"
July has been the deadliest month for international forces in Afghanistan since the Taliban-led government was ousted in 2001 .,"['B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
"They said an explosive device probably caused the blast , but said authorities are still investigating .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Taliban militants also claimed responsibility for that attack .,"['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A crowd of about 200 people had gathered around Boroujerdi 's house to call for the release of the cleric 's jailed followers .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
""" Though you be swift as the wind , I will beat you in a race . ""","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"On his departure the Farmer grievously lamented the destruction of his sheep and oxen , but his wife , who had been a spectator to all that took place , said , "" On my word , you are rightly served , for how could you for a moment think of shutting up a Lion along with you in your farmyard when you know that you shake in your shoes if you only hear his roar at a distance ? '","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mr. Schroeder met Monday with Prime Minister Wen Jiabao .,"['B-per', 'I-per', 'O', 'B-tim', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'O']"
Venezuela lawmakers have given preliminary approval for a referendum to scrap presidential term limits .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The protests led to the resignation of President Carlos Mesa .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O']"
"Signed Tuesday , the deal aims to improve access to markets , cross-border services and conflict resolution .","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Parliament approved 18 nominees put forward by President Ahmadinejad for his 21-member Cabinet , including Ahmad Vahidi , a defense minister , accused of involvement in a 1994 bombing in Argentina .","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-geo', 'O']"
"Hong Kong 's charter carrier , CR Airways , has purchased 40 Boeing planes in a deal worth more than $ 3 billion .","['B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In its annual press freedom report released Tuesday , the group said a total of 12 journalists and two media assistants were killed in the region last year .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Bolivia 's move to nationalize energy resources was expected to be discussed .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Beta is the record 23rd named storm of this year 's Atlantic hurricane season .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O']"
"The U.S. ambassador to the United Nations is dismissing charges by Venezuela 's foreign minister that he was mistreated by New York airport security , calling the diplomat 's protest "" street theater . ""","['O', 'B-geo', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The North Koreans entered the school Tuesday in the city of Qingdao , along China 's eastern coast asking to be sent to South Korea .","['O', 'B-org', 'B-gpe', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
"Toyota has pioneered the hybrid vehicle , which combines a conventional fuel-powered engine with an electric motor , making the car more economical and environmentally-friendly .","['B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Associated Press quotes a 60-year-old local man as saying hundreds of Kurds are buried at the site , including his brother .","['B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Afghan officials say suspected Taleban militants have killed five Afghan security men in separate attacks in the south of the country .,"['B-gpe', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
At least five other people were wounded .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"' My new pet elephant , ' Bill replies solemly .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Pakistan 's government has protested against the attacks as a violation of its sovereignty .,"['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The United Nations says it has evacuated its staffers from the area .,"['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Meanwhile , Australia had to rally from one goal down to tie Benin , 01-Jan , after Razak Omotoyossi scored in the 32nd minute .","['O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O']"
"The department says the unexpected increase reflected record levels for imports of oil and consumer goods , while exports fell .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Ashura is celebrated by Shi'ite Muslims around the world .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The president said Zarqawi personally led a campaign of beheadings , killings , and suicide attacks .","['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The White House says Secretary of State Condoleezza Rice will host the meeting .,"['O', 'B-org', 'I-org', 'O', 'O', 'O', 'B-org', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O']"
"The population lacks education and productive skills , particularly in the poverty-ridden countryside , which suffers from an almost total lack of basic infrastructure .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
President Barack Obama has said the $ 787 billion economic stimulus plan he signed within months of taking office has stopped the recession from getting worse .,"['B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The statement says 550 troops are to be withdrawn by May 15 , and the remaining soldiers by the end of the year .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O']"
The army says another rocket hit in the town of Sderot but caused no injuries or damage .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"If international tests confirm the birds died of the H5N1 strain of the virus , it will be its first appearance in Iran .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
"But human rights groups criticized the increase , saying more U.S. troops could escalate the violence in the South American country .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O']"
Justin Timberlake has a message for U.S. celebrity journalists : drop dead .,"['B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O']"
Mr. Wolfowitz also met with people from poor rural areas to learn how World Bank-funded projects have helped them .,"['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The price of crude oil for future delivery went as high as $ 145.85 a barrel in New York trading .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O']"
"He is also scheduled to meet with Afghan President Hamid Karzai , several of the country 's election candidates , as well as , the head of the EU election observation mission in Afghanistan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-gpe', 'O']"
Authorities said Saturday the militants attacked the district government headquarters in Alishar in southeastern Khost province late Friday .,"['O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'B-tim', 'O']"
The newspaper Granma said satellite television programming from the United States carries out the objectives of those who want to destroy the spirit of Cuba 's 1959 communist revolution .,"['O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O', 'O', 'O']"
"Cut diamonds , high-technology equipment , and agricultural products ( fruits and vegetables ) are the leading exports .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Genetically modified crops have had their DNA engineered to make them resistant to disease and pests .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
He said Mr. Bush 's plan will not fix the system 's long-term financial problems .,"['O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Indonesia 's health ministry says a 31-year-old woman has died of bird flu , raising the national death toll from the disease to 102 .","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Israel and Palestinian factions in the Gaza Strip agreed on a ceasefire over one week ago .,"['B-org', 'O', 'B-org', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O']"
China 's official news agency says the death toll from Tropical Storm Bilis has risen to 518 .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O']"
"Louisiana 's governor has announced a long-awaited rebuilding proposal , almost six months after Hurricane Katrina and Hurricane Rita ravaged the U.S. state .","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-nat', 'I-nat', 'O', 'O', 'B-geo', 'O', 'O']"
The delegation leaves Cuba Sunday .,"['O', 'O', 'O', 'B-geo', 'B-tim', 'O']"
"In other Jennifer Lopez news , the U.S. Magazine Us has named her its Style Icon of the Year ; she 'll pick up her prize at a ceremony in Hollywood .","['O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-geo', 'B-art', 'I-art', 'O', 'O', 'O', 'O', 'B-art', 'I-art', 'I-art', 'I-art', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
U.S. military officials in Iraq have reduced the death toll from a suicide bombing Friday from 27 to 12 .,"['B-geo', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'I-tim', 'I-tim', 'O']"
There were no reports of violence during the Cairo protest .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O']"
A report on Philadelphia area factories shows their activity increasing this month .,"['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The journalist suffered a concussion and broken arm when masked attackers assaulted him with baseball bats in front of his Zagreb home .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O']"
The presentation of the relics of Saint John Chrysostom and Saint Gregory Nazianzen came during a joint service in Saint Peter 's Basilica .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'B-per', 'I-per', 'O', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'B-geo', 'O']"
Neither they nor Mr. McAlpine could be reached for comment .,"['O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O']"
Syria has criticized the resolution as an infringement on a bilateral agreement with the Beirut government .,"['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O']"
Then the Lion attacked them one by one and soon made an end of all four .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The ministry said the comments were meant to create a stable environment for the Olympics .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Indian police say a bus and van collision has killed 34 people , including the bus driver , and injured more than two dozen other people .","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Pakistan 's military launched an offensive against Taliban insurgents in Orakzai in March , to target militants who are believed to have fled an earlier military offensive in South Waziristan .","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'B-geo', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
Pyongyang is demanding Seoul pay at least $ 1 billion in compensation for allegedly torturing North Korean spies and prisoners of war formerly held in South Korea .,"['B-org', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
This reshuffle takes the number of ministers in the three-level Cabinet to 80 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'B-org', 'O', 'O', 'O']"
He also was charged with having ties to the Russian secret service .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O']"
"Earlier this year , Venezuela offered discounted oil to Cuba , Bolivia , Nicaragua and Haiti in exchange for becoming the sole provider to those countries .","['O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Manouchehr Mottaki did not say when the proceedings would begin during a news conference Monday in Tehran .,"['B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O']"
"Former Haitian President Jean-Bertrand Aristide says he hopes to return to Haiti as soon as possible , after nearly two years in exile in South Africa .","['O', 'B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
A team of Hubble Telescope astronomers has announced the discovery of infant stars in a galaxy neighboring the Milky Way .,"['O', 'O', 'O', 'B-art', 'I-art', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
"Iraq 's government has offered an unspecified reward for the capture of Mohsen Khayber , also known as Abdul Rahim .","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O']"
The government has been seeking to implement reforms in hopes of moving the country towards European Union membership in 2007 .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'B-tim', 'O']"
"Kenyan police have opened fire at hundreds of people demonstrating against cartoons depicting the Prophet Muhammad , as protests across the Muslim world showed no signs of abating .","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The remaining 41 whales were spread over a wide area , more than a kilometer from the shore .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
A surge in the unrest that began in late 2005 has resulted in Nigeria 's oil production dropping by about 25 percent .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The Accordance Front Wednesday , gave Prime Minister Nouri al-Maliki one week to meet its demands to deal with Shi'ite militias and reform the conduct of raids and arrests .","['O', 'O', 'O', 'B-tim', 'O', 'O', 'B-per', 'O', 'B-per', 'I-per', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Following a stop in Tikrit , Mr. Rumsfeld visited troops near Fallujah , where dozens of American military personnel were killed last month in an offensive to crush insurgents holed up there .","['O', 'O', 'O', 'O', 'B-geo', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The officials say a senior Maoist leader was among those killed in the clash , some 400 kilometers south of the state capital , Hyderabad .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
Iran 's civil aviation organization says it has asked the United States to resume direct flights between the two countries that were suspended more than 25 years ago .,"['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O']"
"Before the fighting , the camp had a population of more than 30,000 people .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Leta Hong Fincher has more .,"['B-per', 'I-per', 'I-per', 'O', 'O', 'O']"
"Also Thursday , police say the local head of the Shi'ite Badr political group was shot and killed in Amerli district , south of Kirkuk .","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'B-geo', 'O']"
A two-day meeting of the African Union in Addis Ababa is focusing on how to disarm Rwandan rebels in the eastern part of the Democratic Republic of Congo .,"['O', 'B-tim', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'I-geo', 'I-geo', 'O']"
"Poverty increased significantly , the banking system collapsed , and Ecuador defaulted on its external debt .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O']"
An expected leveling off in diamond mining production within the next two decades overshadows long-term prospects .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O']"
The U.S. government reported a one percent increase in retail sales for January .,"['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
The telescope sends images from space back to Earth and has revolutionized understanding of the universe .,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"There are conflicting reports about the number of people who have been detained in the ongoing probe , with figures ranging from three to 12 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O']"
"Tourism , financial services , subsistence farming , and cattle raising are other key sectors .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The peacekeeping force helps the U.N.-backed Somali government hold off a fierce Islamist insurgency .,"['O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The announcement was made as he returned to New Delhi from a similar three-day trip to India 's tsunami-affected southern states of Tamil Nadu , Kerala and Andhra Pradesh .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O']"
"Last month , Argentina became the first country in Latin America to legalize same-sex marriage .","['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O']"
United Nations war crimes prosecutors have accused Serbian authorities of not cooperating with the tribunal .,"['B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Mottaki spoke after meeting Sunday in Tehran with Iraqi Deputy Prime Minister Barham Saleh .,"['B-per', 'O', 'O', 'O', 'B-tim', 'O', 'B-org', 'O', 'B-gpe', 'O', 'B-per', 'O', 'B-per', 'I-per', 'O']"
The no-confidence measure Sunday needed 139 votes for passage but only got 126 .,"['O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Japanese officials say Mr. Toledo told the Japanese leader that former Peruvian President Alberto Fujimori 's recent return to South America should not affect the two nations ' relationship .,"['B-gpe', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-gpe', 'B-per', 'I-per', 'I-per', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Pakistani officials said the helicopter crew probably heard dynamite being used to clear landslides triggered by the quake .,"['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
